# H4_MM(GMSR) EOS. Reference paper: G.Grams, J.Margueron, R.Somasundaram, and S.Reddy, EPJA (2022) 58:56. https://doi.org/10.1140/epja/s10050-022-00706-w 
# Outer-Inner Crust Transition :
# nB_inner =   2.5282142292259004E-004 fm-3, rho =   7.1798191275380834      MeV/fm3, P =   5.4763060342489047E-004 MeV/fm3,  mu_cl_n =   2.6651916429173218E-004 MeV
# Crust-Core Transition:	
# nB_cc =   9.0609997736513612E-002 fm-3. rho =   18.131463559875652      MeV/fm3, P =  0.47616516763123967      MeV/fm3,  mu_cl_n_ =   9.0609997736513612E-002 MeV
#   nB(fm-3),        Acl,         Zcl,          ncl (fm-3),        Ye,        ng (fm-3),     V_WS (fm^3),  E/A-m_n (MeV),  P (MeV/fm^3),  mu_cl_n (MeV),     mu_cl_p (MeV)  
     0.4440E-06     0.6296E+02     0.2743E+02     0.1778E+00     0.4357E+00     0.0000E+00     0.1418E+09    -0.8079E+01     0.1674E-06    -0.8058E+01    -0.1030E+02
     0.4498E-06     0.6299E+02     0.2744E+02     0.1778E+00     0.4356E+00     0.0000E+00     0.1400E+09    -0.8074E+01     0.1703E-06    -0.8051E+01    -0.1031E+02
     0.4558E-06     0.6301E+02     0.2744E+02     0.1778E+00     0.4356E+00     0.0000E+00     0.1382E+09    -0.8069E+01     0.1734E-06    -0.8045E+01    -0.1031E+02
     0.4619E-06     0.6303E+02     0.2745E+02     0.1778E+00     0.4355E+00     0.0000E+00     0.1365E+09    -0.8065E+01     0.1764E-06    -0.8039E+01    -0.1032E+02
     0.4680E-06     0.6306E+02     0.2745E+02     0.1778E+00     0.4354E+00     0.0000E+00     0.1347E+09    -0.8060E+01     0.1795E-06    -0.8032E+01    -0.1033E+02
     0.4742E-06     0.6308E+02     0.2746E+02     0.1777E+00     0.4353E+00     0.0000E+00     0.1330E+09    -0.8055E+01     0.1827E-06    -0.8026E+01    -0.1034E+02
     0.4805E-06     0.6311E+02     0.2746E+02     0.1777E+00     0.4352E+00     0.0000E+00     0.1313E+09    -0.8050E+01     0.1859E-06    -0.8020E+01    -0.1035E+02
     0.4869E-06     0.6313E+02     0.2747E+02     0.1777E+00     0.4351E+00     0.0000E+00     0.1297E+09    -0.8046E+01     0.1892E-06    -0.8013E+01    -0.1036E+02
     0.4934E-06     0.6316E+02     0.2747E+02     0.1777E+00     0.4350E+00     0.0000E+00     0.1280E+09    -0.8041E+01     0.1925E-06    -0.8007E+01    -0.1037E+02
     0.4999E-06     0.6318E+02     0.2748E+02     0.1777E+00     0.4349E+00     0.0000E+00     0.1264E+09    -0.8036E+01     0.1959E-06    -0.8000E+01    -0.1038E+02
     0.5066E-06     0.6321E+02     0.2749E+02     0.1777E+00     0.4348E+00     0.0000E+00     0.1248E+09    -0.8031E+01     0.1994E-06    -0.7994E+01    -0.1039E+02
     0.5133E-06     0.6323E+02     0.2749E+02     0.1777E+00     0.4347E+00     0.0000E+00     0.1232E+09    -0.8026E+01     0.2029E-06    -0.7987E+01    -0.1039E+02
     0.5201E-06     0.6326E+02     0.2750E+02     0.1777E+00     0.4347E+00     0.0000E+00     0.1216E+09    -0.8021E+01     0.2064E-06    -0.7981E+01    -0.1040E+02
     0.5270E-06     0.6328E+02     0.2750E+02     0.1777E+00     0.4346E+00     0.0000E+00     0.1201E+09    -0.8017E+01     0.2101E-06    -0.7974E+01    -0.1041E+02
     0.5340E-06     0.6331E+02     0.2751E+02     0.1777E+00     0.4345E+00     0.0000E+00     0.1186E+09    -0.8012E+01     0.2138E-06    -0.7967E+01    -0.1042E+02
     0.5411E-06     0.6334E+02     0.2751E+02     0.1777E+00     0.4344E+00     0.0000E+00     0.1171E+09    -0.8007E+01     0.2175E-06    -0.7961E+01    -0.1043E+02
